LOANSKEY,Original LTV,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,Occupancy,Units,Scheduled Balance,Original Balance,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,Master Servicing Fee Rate,LPMI Fee Rate,State,City,Zip,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Originator,Primary Servicer,Deal ID,Pool ID
289672,62.80,0.00,664000.00,0,No Insurance,N,684,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,417000.00,417000.00,0.00,20061229,20070301,20370201,20070501,6.250,0.250,0.000,0.000,Virginia,PORTSMOUTH,23701,Y,N,Conforming,120,360,240,2171.87,2171.87,0,0,0,3,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
289678,69.90,0.00,555000.00,0,No Insurance,N,775,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Planned unit developments,Primary,1,387945.00,387945.00,0.00,20070103,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Maryland,NEW MARKET,21774,Y,N,Conforming,120,360,240,2060.96,2060.96,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
289686,67.94,0.00,520000.00,0,No Insurance,N,776,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,353259.76,353306.00,0.00,20070105,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Michigan,SOUTH HAVEN,49090,Y,N,Conforming,120,360,240,1876.94,1876.57,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
289692,77.65,0.00,425000.00,0,No Insurance,N,655,No Ratio,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,330000.00,330000.00,0.00,20061229,20070301,20370201,20070501,6.250,0.250,0.000,0.000,Maryland,HYATTSVILLE,20783,Y,N,Conforming,120,360,240,1718.75,1718.75,0,0,0,3,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
289693,57.89,0.00,570000.00,0,No Insurance,N,677,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Two- to four-family,Primary,2,330000.00,330000.00,0.00,20061228,20070301,20370201,20070501,6.500,0.250,0.000,0.000,New York,RIDGEWOOD,11385,Y,N,Conforming,120,360,240,1787.50,1787.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
289698,80.00,395000.00,395000.00,0,No Insurance,N,737,Full Asset/Stated Income,N,30 Year FRM,Purchase,Planned unit developments,Primary,1,316000.00,316000.00,0.00,20070105,20070201,20370101,20070501,6.500,0.250,0.000,0.000,Florida,PALM HARBOR,34684,Y,N,Conforming,120,360,240,1711.67,1711.67,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
289755,80.00,0.00,270000.00,0,No Insurance,N,630,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,216000.00,216000.00,0.00,20061228,20070201,20370101,20070501,6.375,0.250,0.000,0.000,Nevada,LAS VEGAS,89110,Y,N,Conforming,120,360,240,1147.50,1147.50,0,0,0,3,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
289762,70.00,0.00,300000.00,0,No Insurance,N,690,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Condo,Investor,1,210000.00,210000.00,0.00,20070111,20070301,20370201,20070501,6.375,0.250,0.000,0.000,Virginia,ALEXANDRIA,22310,Y,N,Conforming,120,360,240,1115.63,1115.63,0,0,0,3,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
289784,75.00,0.00,260000.00,0,No Insurance,N,771,No,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,194959.79,195000.00,0.00,20070108,20070301,20370201,20070501,6.500,0.250,0.000,0.000,Tennessee,NASHVILLE,37205,Y,N,Conforming,120,360,240,1056.25,1056.03,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
289961,70.00,100000.00,100000.00,0,No Insurance,N,750,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Investor,1,69999.00,69999.00,0.00,20070112,20070301,20370201,20070501,6.500,0.250,0.000,0.000,Georgia,ATLANTA,30310,Y,N,Conforming,120,360,240,379.16,379.16,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
290013,58.16,0.00,980000.00,0,No Insurance,N,670,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Planned unit developments,Primary,1,570000.00,570000.00,0.00,20070104,20070301,20370201,20070501,5.875,0.250,0.000,0.000,Hawaii,MILILANI,96789,Y,N,Conforming,120,360,240,2790.62,2790.62,1,0,0,5,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
289921,25.00,0.00,400000.00,0,No Insurance,N,817,Stated Income/Stated Asset,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,100000.00,100000.00,0.00,20061227,20070201,20370101,20070501,6.125,0.250,0.000,0.000,Hawaii,EWA BEACH,96706,Y,N,Conforming,120,360,240,510.42,510.42,0,0,0,3,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
313443,62.50,800000.00,810000.00,0,No Insurance,N,716,Simply Signature,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,499526.58,500001.00,0.00,20070315,20070501,20370401,20070501,6.250,0.250,0.000,0.000,New Jersey,CLOSTER,07624,N,N,Jumbo,0,360,360,3078.59,3078.59,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
313446,79.99,680126.00,683000.00,0,No Insurance,N,693,Full Documentation,Y,30 Year FRM,Purchase,Planned unit developments,Primary,1,544000.00,544000.00,0.00,20070315,20070501,20370401,20070501,6.250,0.250,0.000,0.000,Texas,MURPHY,75094,Y,N,Jumbo,120,360,240,2833.33,2833.33,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
313449,61.08,0.00,925000.00,0,No Insurance,N,750,Simply Signature,N,30 Year FRM,Cash-out Refinance,Cooperative Units,Primary,1,564476.70,565000.00,0.00,20070315,20070501,20370401,20070501,6.375,0.250,0.000,0.000,New York,NEW YORK,10021,N,N,Conforming,0,360,360,3524.86,3524.86,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
313451,75.00,749000.00,749000.00,0,No Insurance,N,738,Full Documentation,N,30 Year FRM,Purchase,Cooperative Units,Secondary,1,561229.71,561750.00,0.00,20070315,20070501,20370401,20070501,6.375,0.250,0.000,0.000,New York,NEW YORK,10023,N,N,Conforming,0,360,360,3504.59,3504.59,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
313453,80.00,544000.00,547000.00,0,No Insurance,N,718,Simply Signature,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,434796.91,435200.00,0.00,20070314,20070501,20370401,20070501,6.375,0.250,0.000,0.000,Florida,NAPLES,34117,N,N,Jumbo,0,360,360,2715.09,2715.09,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
313456,80.00,765000.00,800000.00,0,No Insurance,N,734,Simply Signature,N,30 Year FRM,Purchase,Condo,Primary,1,611419.31,612000.00,0.00,20070315,20070501,20370401,20070501,6.250,0.250,0.000,0.000,New York,NEW YORK,10038,N,N,Jumbo,0,360,360,3768.19,3768.19,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
313457,80.00,774750.00,800000.00,0,No Insurance,N,718,Simply Signature,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,619800.00,619800.00,0.00,20070314,20070501,20370401,20070501,6.125,0.250,0.000,0.000,Connecticut,WESTON,06883,Y,N,Jumbo,120,360,240,3163.57,3163.57,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
313458,80.00,0.00,530000.00,0,No Insurance,N,769,Simply Signature,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,423607.29,424000.00,0.00,20070309,20070501,20370401,20070501,6.375,0.250,0.000,0.000,New York,WEST HEMPSTEAD,11552,N,N,Jumbo,0,360,360,2645.21,2645.21,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
306871,71.43,910000.00,910000.00,0,No Insurance,N,653,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,649321.36,650000.00,0.00,20070315,20070501,20370401,20070501,5.750,0.250,0.000,0.000,Massachusetts,COHASSET,02025,N,N,Jumbo,0,360,360,3793.22,3793.22,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
306873,73.76,0.00,705000.00,0,No Insurance,N,791,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,518547.45,520000.00,0.00,20070126,20070301,20370201,20070501,6.375,0.250,0.000,0.000,New Jersey,MOUNTAINSIDE,07092,N,N,Jumbo,0,360,360,3244.12,3244.12,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
306946,80.00,600000.00,600000.00,0,No Insurance,N,708,Full Documentation,N,30 Year FRM,Purchase,Condo,Secondary,1,479544.56,480000.00,0.00,20070308,20070501,20370401,20070501,6.250,0.250,0.000,0.000,Connecticut,RIDGEFIELD,06877,N,N,Jumbo,0,360,360,2955.44,2955.44,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
306862,80.00,1375000.00,1390000.00,0,No Insurance,N,764,Alternative,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,1097907.12,1100000.00,0.00,20070206,20070401,20370301,20070501,6.250,0.250,0.000,0.000,Ohio,BRECKSVILLE,44141,N,N,Jumbo,0,360,360,6772.89,6772.89,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
309094,29.09,0.00,275000.00,0,No Insurance,N,802,Full Asset/Stated Income,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Secondary,1,79442.60,80000.00,0.00,20070216,20070401,20220301,20070501,5.875,0.250,0.000,0.000,Alabama,WEDOWEE,36278,N,N,Conforming,0,180,180,669.69,669.69,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
309095,27.04,0.00,795000.00,0,No Insurance,N,696,Full Asset/Stated Income,Y,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,210870.90,215000.00,0.00,20070214,20070401,20220301,20070501,5.875,0.250,0.000,0.000,Maryland,DAVIDSONVILLE,21035,N,N,Conforming,0,180,180,1799.80,1799.80,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
309096,63.77,0.00,207000.00,0,No Insurance,N,704,Full Asset/Stated Income,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,130809.09,132000.00,0.00,20070213,20070401,20220301,20070501,6.250,0.250,0.000,0.000,Arizona,GLENDALE,85303,N,N,Conforming,0,180,180,1131.80,1131.80,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
309097,59.92,0.00,118500.00,0,No Insurance,N,809,Full Asset/Stated Income,N,15 Year FRM,Rate-Term Refinance,Two- to four-family,Investor,2,70063.44,71000.00,0.00,20061228,20070201,20220101,20070501,6.625,0.250,0.000,0.000,Missouri,FORSYTH,65653,N,N,Conforming,0,180,180,623.38,623.38,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
309098,79.34,0.00,121000.00,0,No Insurance,N,809,Full Asset/Stated Income,Y,15 Year FRM,Rate-Term Refinance,Two- to four-family,Investor,2,94723.74,96000.00,0.00,20061228,20070201,20220101,20070501,6.625,0.250,0.000,0.000,Missouri,FORSYTH,65653,N,N,Conforming,0,180,180,842.87,842.87,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
309099,29.55,0.00,440000.00,0,No Insurance,N,707,Full Asset/Stated Income,Y,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,129548.21,130000.00,0.00,20070307,20070501,20220401,20070501,5.875,0.250,0.000,0.000,New York,BETHPAGE,11714,N,N,Conforming,0,180,180,1088.25,1088.25,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
309100,47.01,0.00,368000.00,0,No Insurance,N,754,Full Asset/Stated Income,Y,15 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,172398.77,173000.00,0.00,20070226,20070501,20220401,20070501,5.875,0.250,0.000,0.000,Florida,HIALEAH,33012,N,N,Conforming,0,180,180,1448.21,1448.21,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
309101,49.11,0.00,202000.00,0,No Insurance,N,699,Full Asset/Stated Income,N,15 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,98852.67,99200.00,0.00,20070306,20070501,20220401,20070501,5.875,0.250,0.000,0.000,California,HURON,93234,N,N,Conforming,0,180,180,830.42,830.42,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
309102,30.00,0.00,450000.00,0,No Insurance,N,661,Full Asset/Stated Income,Y,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,134555.26,135000.00,0.00,20070228,20070501,20220401,20070501,6.500,0.250,0.000,0.000,Florida,PEMBROKE PINES,33026,N,N,Conforming,0,180,180,1175.99,1175.99,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
309103,45.41,0.00,370000.00,0,No Insurance,N,682,Full Asset/Stated Income,Y,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,167428.45,168000.00,0.00,20070302,20070501,20220401,20070501,6.125,0.250,0.000,0.000,Oregon,OREGON CITY,97045,N,N,Conforming,0,180,180,1429.05,1429.05,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
309104,48.15,0.00,594000.00,0,No Insurance,N,690,Full Asset/Stated Income,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,284973.97,286000.00,0.00,20070307,20070501,20220401,20070501,5.500,0.250,0.000,0.000,Virginia,FALLS CHURCH,22043,N,N,Conforming,0,180,180,2336.86,2336.86,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
311342,79.14,0.00,390000.00,0,No Insurance,N,735,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Condo,Primary,1,308650.00,308650.00,0.00,20070221,20070401,20370301,20070501,6.625,0.250,0.000,0.000,Arizona,LAVEEN,85339,Y,N,Conforming,120,360,240,1704.01,1704.01,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311345,80.00,1025000.00,1233000.00,0,No Insurance,N,783,Full Documentation,Y,30 Year FRM,Purchase,Single Family Residence,Secondary,1,819221.95,820000.00,0.00,20070306,20070501,20370401,20070501,6.250,0.250,0.000,0.000,Georgia,BLUE RIDGE,30513,N,N,Jumbo,0,360,360,5048.88,5048.88,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311347,63.25,0.00,1200000.00,0,No Insurance,N,762,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,757555.91,759000.00,0.00,20070221,20070401,20370301,20070501,6.250,0.250,0.000,0.000,California,WALNUT CREEK,94596,N,N,Jumbo,0,360,360,4673.29,4673.29,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311348,76.34,655000.00,655000.00,0,No Insurance,N,793,Full Asset/Stated Income,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,499048.69,500000.00,0.00,20070226,20070401,20370301,20070501,6.250,0.250,0.000,0.000,California,NAPA,94558,N,N,Jumbo,0,360,360,3078.59,3078.59,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311349,77.07,0.00,785000.00,0,No Insurance,N,765,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,604425.95,605000.00,0.00,20070315,20070501,20370401,20070501,6.250,0.250,0.000,0.000,Washington,LYNNWOOD,98087,N,N,Jumbo,0,360,360,3725.09,3725.09,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311351,80.00,610000.00,610000.00,0,No Insurance,N,772,Full Documentation,Y,30 Year FRM,Purchase,Single Family Residence,Primary,1,487525.69,488000.00,0.00,20070316,20070501,20370401,20070501,6.125,0.250,0.000,0.000,Washington,SEATTLE,98109,N,N,Jumbo,0,360,360,2965.14,2965.14,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311353,67.12,789610.70,800000.00,0,No Insurance,N,770,Full Asset/Stated Income,Y,30 Year FRM,Purchase,Single Family Residence,Primary,1,529497.12,530000.00,0.00,20070323,20070501,20370401,20070501,6.250,0.250,0.000,0.000,Oregon,BEAVERTON,97007,N,N,Jumbo,0,360,360,3263.30,3263.30,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311354,30.24,0.00,2300000.00,0,No Insurance,N,767,Full Asset/Stated Income,Y,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,694871.26,695500.00,0.00,20070313,20070501,20370401,20070501,6.500,0.250,0.000,0.000,Arizona,PARADISE VALLEY,85253,N,N,Jumbo,0,360,360,4396.03,4396.03,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311355,75.27,0.00,1100000.00,0,No Insurance,N,732,Full Asset/Stated Income,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,826424.63,828000.00,0.00,20070220,20070401,20370301,20070501,6.250,0.250,0.000,0.000,Illinois,CHICAGO,60618,N,N,Jumbo,0,360,360,5098.14,5098.14,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311356,71.76,0.00,740000.00,0,No Insurance,N,765,Full Asset/Stated Income,N,30 Year FRM,Rate-Term Refinance,Condo,Primary,1,530310.31,531000.00,0.00,20070307,20070501,20370401,20070501,6.125,0.250,0.000,0.000,California,DISCOVERY BAY,94514,N,N,Jumbo,0,360,360,3226.41,3226.41,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311357,70.00,959000.00,959000.00,0,No Insurance,N,770,Full Asset/Stated Income,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,670678.24,671300.00,0.00,20070307,20070501,20370401,20070501,6.375,0.250,0.000,0.000,California,NAPA,94558,N,N,Jumbo,0,360,360,4188.04,4188.04,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311359,68.90,1450000.00,1450000.00,0,No Insurance,N,790,Full Asset/Stated Income,Y,30 Year FRM,Purchase,Single Family Residence,Primary,1,998074.73,999000.00,0.00,20070312,20070501,20370401,20070501,6.375,0.250,0.000,0.000,Arizona,PHOENIX,85021,N,N,Jumbo,0,360,360,6232.46,6232.46,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311360,67.74,930000.00,1054000.00,0,No Insurance,N,804,Full Documentation,Y,30 Year FRM,Purchase,Condo,Primary,1,627689.28,630000.00,0.00,20061110,20070101,20361201,20070501,6.375,0.250,0.000,0.000,Virginia,LEESBURG,20176,Y,N,Jumbo,120,360,240,3346.88,3334.53,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311361,80.00,306500.00,312000.00,0,No Insurance,N,631,Full Documentation,N,30 Year FRM,Purchase,Planned unit developments,Primary,1,245200.00,245200.00,0.00,20070323,20070501,20370401,20070501,6.750,0.250,0.000,0.000,Maryland,ABINGDON,21009,Y,N,Conforming,120,360,240,1379.25,1379.25,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311362,70.18,712500.00,712500.00,0,No Insurance,N,784,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Secondary,1,500000.00,500000.00,0.00,20070216,20070401,20370301,20070501,6.625,0.250,0.000,0.000,Florida,PANAMA CITY BEACH,32408,Y,N,Jumbo,120,360,240,2760.42,2760.42,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311363,58.82,0.00,340000.00,0,No Insurance,N,783,Full Documentation,N,30 Year FRM,Cash-out Refinance,Planned unit developments,Investor,1,200000.00,200000.00,0.00,20070321,20070501,20370401,20070501,6.250,0.250,0.000,0.000,Maryland,GERMANTOWN,20874,Y,N,Conforming,120,360,240,1041.67,1041.67,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311364,80.00,657000.00,657000.00,0,No Insurance,N,752,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,525600.00,525600.00,0.00,20070322,20070501,20370401,20070501,6.625,0.250,0.000,0.000,New Jersey,UNION TWP,08848,Y,N,Jumbo,120,360,240,2901.75,2901.75,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311365,80.00,240000.00,240000.00,0,No Insurance,N,759,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,192000.00,192000.00,0.00,20070323,20070501,20370401,20070501,6.250,0.250,0.000,0.000,Oregon,PORTLAND,97213,Y,N,Conforming,120,360,240,1000.00,1000.00,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311366,80.00,585000.00,585000.00,0,No Insurance,N,701,Full Documentation,N,30 Year FRM,Purchase,Condo,Primary,1,468000.00,468000.00,0.00,20070321,20070501,20370401,20070501,6.875,0.250,0.000,0.000,Arizona,CAVE CREEK,85331,Y,N,Jumbo,120,360,240,2681.25,2681.25,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311367,80.00,223000.00,225000.00,0,No Insurance,N,752,Full Documentation,N,30 Year FRM,Purchase,Condo,Primary,1,178400.00,178400.00,0.00,20070322,20070501,20370401,20070501,6.375,0.250,0.000,0.000,South Carolina,CHARLESTON,29407,Y,N,Conforming,120,360,240,947.75,947.75,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311368,80.00,279900.00,290000.00,0,No Insurance,N,668,Full Asset/Stated Income,N,30 Year FRM,Purchase,Condo,Primary,1,223920.00,223920.00,0.00,20070322,20070501,20370401,20070501,6.500,0.250,0.000,0.000,Florida,BOYNTON BEACH,33436,Y,N,Conforming,120,360,240,1212.90,1212.90,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311369,80.00,0.00,334000.00,0,No Insurance,N,767,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,267200.00,267200.00,0.00,20070309,20070501,20370401,20070501,6.250,0.250,0.000,0.000,Illinois,ROSELLE,60172,Y,N,Conforming,120,360,240,1391.67,1391.67,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311370,80.00,0.00,210000.00,0,No Insurance,N,727,Full Asset/Stated Income,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,168000.00,168000.00,0.00,20070314,20070501,20370401,20070501,6.375,0.250,0.000,0.000,Oregon,PORTLAND,97206,Y,N,Conforming,120,360,240,892.50,892.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311371,50.00,0.00,360000.00,0,No Insurance,N,759,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Condo,Primary,1,180000.00,180000.00,0.00,20070319,20070501,20370401,20070501,6.625,0.250,0.000,0.000,Arizona,CAVE CREEK,85331,Y,N,Conforming,120,360,240,993.75,993.75,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311376,29.57,0.00,2300000.00,0,No Insurance,N,692,Full Asset/Stated Income,Y,30 Year FRM,Rate-Term Refinance,Two- to four-family,Primary,2,679370.18,680000.00,0.00,20070321,20070501,20370401,20070501,6.375,0.250,0.000,0.000,New York,NEW YORK,10013,N,N,Conforming,0,360,360,4242.32,4242.32,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311381,76.47,0.00,850000.00,0,No Insurance,N,763,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Condo,Secondary,1,649397.98,650000.00,0.00,20070326,20070501,20370401,20070501,6.375,0.250,0.000,0.000,Montana,WHITEFISH,59937,N,N,Jumbo,0,360,360,4055.15,4055.15,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311382,80.00,0.00,750000.00,0,No Insurance,N,738,Full Documentation,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,599444.28,600000.00,0.00,20070320,20070501,20370401,20070501,6.375,0.250,0.000,0.000,Virginia,MIDLAND,22728,N,N,Jumbo,0,360,360,3743.22,3743.22,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311385,67.73,0.00,1475000.00,0,No Insurance,N,666,Full Asset/Stated Income,Y,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,998074.73,999000.00,0.00,20070315,20070501,20370401,20070501,6.375,0.250,0.000,0.000,California,PETALUMA,94952,N,N,Jumbo,0,360,360,6232.46,6232.46,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311386,77.42,0.00,930000.00,0,No Insurance,N,770,Full Asset/Stated Income,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,719364.76,720000.00,0.00,20070323,20070501,20370401,20070501,6.625,0.250,0.000,0.000,Georgia,CARROLLTON,30117,N,N,Jumbo,0,360,360,4610.24,4610.24,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311394,73.95,1157500.00,1165000.00,0,No Insurance,N,792,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,855147.85,856000.00,0.00,20070321,20070501,20370401,20070501,6.000,0.250,0.000,0.000,California,ALBANY,94706,N,N,Jumbo,0,360,360,5132.15,5132.15,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311398,63.87,0.00,1550000.00,0,No Insurance,N,690,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,989014.45,990000.00,0.00,20070320,20070501,20370401,20070501,6.000,0.250,0.000,0.000,Minnesota,ORONO,55364,N,N,Jumbo,0,360,360,5935.55,5935.55,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311404,77.04,0.00,675000.00,0,No Insurance,N,700,Full Asset/Stated Income,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,519506.60,520000.00,0.00,20070320,20070501,20370401,20070501,6.250,0.250,0.000,0.000,Georgia,ALPHARETTA,30004,N,N,Jumbo,0,360,360,3201.73,3201.73,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
311414,80.00,0.00,680000.00,0,No Insurance,N,653,Full Documentation,N,30 Year FRM,Cash-out Refinance,Two- to four-family,Primary,2,543483.83,544000.00,0.00,20070322,20070501,20370401,20070501,6.250,0.250,0.000,0.000,New York,BROOKLYN,11236,N,N,Jumbo,0,360,360,3349.50,3349.50,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
