LOANSKEY,Original LTV,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,LOANSKEY,Occupancy,Units,Scheduled Balance,Original Balance,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,Master Servicing Fee Rate,LOANSKEY,LPMI Fee Rate,State,City,Zip,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,LOANSKEY,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Originator,Primary Servicer,Index,Initial Rate Adjustment Period,Subsequent Rate Adjustment Period,Initial Payment Adjustmen Period,Subsequent Payment Adjustment Period,LOANSKEY,First Rate Adjustment Date,First Payment Adjustment Date,Initial Periodic Cap,Subsequent Periodic Cap,Life Cap,Margin,Max Rate,Months to Next Rate Adjustment,Months to Next Pay Adjustment,Servicing Step Up,Step up Servicing Rate
277377,62.08,1200000,1200000,0,No Insurance,N,812,Simply Signature,N,5 Year ARM,Purchase,Planned unit developments,277377,Primary,1,745000,745000,0,4/11/2005,6/1/2005,5/1/2035,1/1/2007,5.375,0.25,0.0018,277377,0,Florida,CORTEZ FL,34215,Y,N,Jumbo,60,360,300,3336.98,"3,336.98",277377,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277377,5/1/2010,6/1/2010,5,2,5,2.25,10.38,40,41,N,0
277378,60,1000000,1000000,0,No Insurance,N,814,Simply Signature,Y,5 Year ARM,Purchase,Single Family Residence,277378,Primary,1,500085.6,600000,0,10/15/2004,12/1/2004,11/1/2034,1/1/2007,4.75,0.25,0.0018,277378,0,Michigan,KALAMAZOO MI,49009,N,N,Jumbo,0,360,360,3129.88,"3,129.88",277378,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277378,11/1/2009,12/1/2009,5,2,5,2.25,9.75,34,35,N,0
277379,80,669000,670000,0,No Insurance,N,784,Simply Signature,N,5 Year ARM,Purchase,Condo,277379,Primary,1,517192.42,535200,0,10/27/2004,12/1/2004,11/1/2034,1/1/2007,4.875,0.25,0.0018,277379,0,California,SAN FRANCISCO CA,94103,N,N,Jumbo,0,360,360,2832.32,"2,832.32",277379,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277379,11/1/2009,12/1/2009,5,2,5,2.25,9.88,34,35,N,0
277386,46.33,1402921,1500000,0,No Insurance,N,768,Full Documentation,Y,5 Year ARM,Purchase,Single Family Residence,277386,Primary,1,633935.82,650000,0,2/4/2005,4/1/2005,3/1/2035,1/1/2007,5.625,0.25,0.0018,277386,0,Indiana,ZIONSVILLE IN,46077,N,N,Jumbo,0,360,360,3741.77,"3,741.77",277386,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277386,3/1/2010,4/1/2010,5,2,5,2.25,10.63,38,39,N,0
277387,70,2350000,2350000,0,No Insurance,N,655,Full Documentation,Y,5 Year ARM,Purchase,Cooperative Units,277387,Primary,1,1644866.34,1645000,0,1/27/2005,3/1/2005,2/1/2035,1/1/2007,4.875,0.25,0.0018,277387,0,New York,NEW YORK NY,10128,Y,N,Conforming,60,360,300,6682.81,"6,682.27",277387,1,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277387,2/1/2010,3/1/2010,5,2,5,2.5,9.88,37,38,N,0
277388,52.41,0,1450000,0,No Insurance,N,692,Reduced - No Income Verification,Y,5 Year ARM,Rate-Term Refinance,Single Family Residence,277388,Primary,1,739817.41,759945,0,1/24/2005,3/1/2005,2/1/2035,1/1/2007,5.5,0.25,0.0018,277388,0,Indiana,INDIANAPOLIS IN,46260,N,N,Jumbo,0,360,360,4314.88,"4,314.88",277388,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277388,2/1/2010,3/1/2010,5,2,5,2.25,10.5,37,38,N,0
277389,63.45,0,1100000,0,No Insurance,N,798,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,277389,Primary,1,667914.32,698000,0,11/22/2004,1/1/2005,12/1/2034,1/1/2007,5,0.25,0.0018,277389,0,Indiana,INDIANAPOLIS IN,46228,N,N,Jumbo,0,360,360,3747.01,"3,747.01",277389,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277389,12/1/2009,1/1/2010,5,2,5,2.25,10,35,36,N,0
277390,66.47,0,850000,0,No Insurance,N,725,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,277390,Secondary,1,546322.81,565000,0,10/22/2004,12/1/2004,11/1/2034,1/1/2007,5,0.25,0.0018,277390,0,California,MOUNT SHASTA CA,96067,N,N,Jumbo,0,360,360,3033.04,"3,033.04",277390,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277390,11/1/2009,12/1/2009,5,2,5,2.25,10,34,35,N,0
277393,80,730000,730000,0,No Insurance,N,793,Simply Signature,N,5 Year ARM,Purchase,Single Family Residence,277393,Primary,1,580659.11,584000,0,1/27/2005,3/1/2005,2/1/2035,1/1/2007,5.25,0.25,0.0018,277393,0,California,SAN JOSE CA,95130,Y,N,Jumbo,60,360,300,2555,"2,541.08",277393,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277393,2/1/2010,3/1/2010,5,2,5,2.25,10.25,37,38,N,0
277398,57.57,0,1300000,0,No Insurance,N,637,Full Documentation,Y,5 Year ARM,Rate-Term Refinance,Single Family Residence,277398,Primary,1,730894.53,748400,0,4/15/2005,6/1/2005,5/1/2035,1/1/2007,5.375,0.25,0.0018,277398,0,Michigan,BLOOMFIELD HILLS MI,48302,N,N,Jumbo,0,360,360,4190.82,"4,190.82",277398,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277398,5/1/2010,6/1/2010,5,2,5,2.25,10.38,40,41,N,0
277399,80,650000,665000,0,No Insurance,N,805,Simply Signature,N,5 Year ARM,Purchase,Single Family Residence,277399,Primary,1,55409.91,520000,0,5/9/2005,7/1/2005,6/1/2035,1/1/2007,5.875,0.25,0.0018,277399,0,New York,WANTAGH NY,11793,Y,N,Jumbo,60,360,300,2545.83,285.97,277399,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277399,6/1/2010,7/1/2010,5,2,5,2.25,10.88,41,42,N,0
277400,42.86,3500000,3500000,0,No Insurance,N,777,Full Documentation,Y,5 Year ARM,Purchase,Single Family Residence,277400,Primary,1,1499535.01,1500000,0,4/18/2005,6/1/2005,5/1/2035,1/1/2007,4.875,0.25,0.0018,277400,0,New York,KINGS POINT NY,11024,Y,N,Jumbo,60,360,300,6093.75,"6,091.86",277400,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277400,5/1/2010,6/1/2010,5,2,5,2.5,9.88,40,41,N,0
277401,57.89,0,1900000,0,No Insurance,N,705,Simply Signature,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,277401,Primary,1,1069528.13,1100000,0,12/20/2004,2/1/2005,1/1/2035,1/1/2007,5.5,0.25,0.0018,277401,0,Michigan,BIRMINGHAM MI,48009,N,N,Jumbo,0,360,360,6245.68,"6,245.68",277401,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277401,1/1/2010,2/1/2010,5,2,5,2.25,10.5,36,37,N,0
277403,77.78,0,630000,0,No Insurance,N,775,Full Documentation,Y,5 Year ARM,Rate-Term Refinance,Single Family Residence,277403,Primary,1,477021.9,490000,0,1/3/2005,3/1/2005,2/1/2035,1/1/2007,5.5,0.25,0.0018,277403,0,Ohio,WARREN OH,44484,N,N,Jumbo,0,360,360,2782.17,"2,782.17",277403,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277403,2/1/2010,3/1/2010,5,2,5,2.25,10.5,37,38,N,0
277405,89.77,557000,560000,25,PMI,N,615,Full Documentation,Y,5 Year ARM,Purchase,Single Family Residence,277405,Primary,1,484868.91,500000,0,12/7/2004,2/1/2005,1/1/2035,1/1/2007,5,0.25,0.0018,277405,0,Massachusetts,PEPPERELL MA,1463,N,N,Jumbo,0,360,360,2684.11,"2,684.11",277405,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277405,1/1/2010,2/1/2010,5,2,5,2.25,10,36,37,N,0
277406,80,660000,700000,0,No Insurance,N,770,Simply Signature,N,5 Year ARM,Purchase,Single Family Residence,277406,Primary,1,507879.05,528000,0,10/15/2004,12/1/2004,11/1/2034,1/1/2007,5.125,0.25,0.0018,277406,0,Michigan,BLOOMFIELD HILLS MI,48304,N,N,Jumbo,0,360,360,2874.89,"2,874.89",277406,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277406,11/1/2009,12/1/2009,5,2,5,2.25,10.13,34,35,N,0
277407,44.45,0,1100000,0,No Insurance,N,805,Streamline,N,5 Year ARM,Rate-Term Refinance,Condo,277407,Primary,1,470242.31,489000,0,5/21/2004,7/1/2004,6/1/2034,1/1/2007,5.25,0.25,0.0018,277407,0,Florida,SARASOTA FL,34236,N,N,Jumbo,0,360,360,2700.28,"2,700.28",277407,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277407,6/1/2009,7/1/2009,5,2,5,2.25,10.25,29,30,N,0
277411,80,0,750000,0,No Insurance,N,795,Full Documentation,Y,5 Year ARM,Rate-Term Refinance,Single Family Residence,277411,Primary,1,580203.77,600000,0,11/4/2004,1/1/2005,12/1/2034,1/1/2007,4.75,0.25,0.0018,277411,0,Michigan,FREELAND MI,48623,N,N,Jumbo,0,360,360,3129.88,"3,129.88",277411,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277411,12/1/2009,1/1/2010,5,2,5,2.25,9.75,35,36,N,0
277415,65.79,0,1900000,0,No Insurance,N,636,Simply Signature,Y,5 Year ARM,Rate-Term Refinance,Single Family Residence,277415,Primary,1,1250000,1250000,0,12/6/2004,2/1/2005,1/1/2035,1/1/2007,5.125,0.25,0.0018,277415,0,New York,SANDS POINT NY,11050,Y,N,Jumbo,60,360,300,5338.54,"5,338.54",277415,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277415,1/1/2010,2/1/2010,5,2,5,2.5,10.13,36,37,N,0
277416,80,615000,625000,0,No Insurance,N,809,Simply Signature,Y,5 Year ARM,Purchase,Planned unit developments,277416,Primary,1,474015.43,492000,0,9/27/2004,11/1/2004,10/1/2034,1/1/2007,4.625,0.25,0.0018,277416,0,Kansas,LEAWOOD KS,66211,N,N,Jumbo,0,360,360,2529.57,"2,529.57",277416,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277416,10/1/2009,11/1/2009,5,2,5,2.25,9.63,33,34,N,0
277417,76.67,750000,750000,0,No Insurance,N,777,Simply Signature,N,5 Year ARM,Purchase,Planned unit developments,277417,Primary,1,553525.02,575000,0,8/13/2004,10/1/2004,9/1/2034,1/1/2007,5,0.25,0.0018,277417,0,Missouri,CHESTERFIELD MO,63005,N,N,Jumbo,0,360,360,3086.72,"3,086.72",277417,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277417,9/1/2009,10/1/2009,5,2,5,2.25,10,32,33,N,0
277418,79.37,630000,630000,0,No Insurance,N,754,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,277418,Primary,1,476852.42,500000,0,6/1/2004,8/1/2004,7/1/2034,1/1/2007,5,0.25,0.0018,277418,0,Arkansas,HOT SPRINGS AR,71913,N,N,Jumbo,0,360,360,2684.11,"2,684.11",277418,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277418,7/1/2009,8/1/2009,5,2,5,2.25,10,30,31,N,0
277419,70.65,0,770000,0,No Insurance,N,707,Streamline,Y,5 Year ARM,Rate-Term Refinance,Condo,277419,Secondary,1,506173.85,544000,0,5/3/2004,6/1/2004,5/1/2034,1/1/2007,4.5,0.25,0.0018,277419,0,Florida,SARASOTA FL,34242,N,N,Jumbo,0,360,360,2756.37,"2,756.37",277419,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277419,5/1/2009,6/1/2009,5,2,5,2.25,9.5,28,29,N,0
277420,80,625000,625000,0,No Insurance,N,812,Simply Signature,N,5 Year ARM,Purchase,Single Family Residence,277420,Primary,1,499975.72,500000,0,5/2/2005,6/1/2005,5/1/2035,1/1/2007,5.75,0.25,0.0018,277420,0,Connecticut,WESTPORT CT,6880,Y,N,Jumbo,60,360,300,2395.83,"2,395.72",277420,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277420,5/1/2010,6/1/2010,5,2,5,2.25,10.75,40,41,N,0
277423,80,610000,610000,0,No Insurance,N,804,Simply Signature,N,5 Year ARM,Purchase,Single Family Residence,277423,Secondary,1,474519.8,488000,0,2/16/2005,4/1/2005,3/1/2035,1/1/2007,5,0.25,0.0018,277423,0,Florida,NAPLES FL,34110,N,N,Jumbo,0,360,360,2619.69,"2,619.69",277423,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277423,3/1/2010,4/1/2010,5,2,5,2.25,10,38,39,N,0
277425,74.56,0,731000,0,No Insurance,N,658,Simply Signature,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,277425,Primary,1,527009.45,545000,0,11/18/2004,1/1/2005,12/1/2034,1/1/2007,5.25,0.25,0.0018,277425,0,Illinois,RIVERSIDE IL,60546,N,N,Jumbo,0,360,360,3009.51,"3,009.51",277425,1,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277425,12/1/2009,1/1/2010,5,2,5,2.25,10.25,35,36,N,0
277426,75,640000,640000,0,No Insurance,N,757,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,277426,Primary,1,461196.94,480000,0,10/1/2004,11/1/2004,10/1/2034,1/1/2007,4.625,0.25,0.0018,277426,0,Colorado,LONE TREE CO,80124,N,N,Jumbo,0,360,360,2467.87,"2,467.87",277426,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277426,10/1/2009,11/1/2009,5,2,5,2.25,9.63,33,34,N,0
277427,80,600000,600000,0,No Insurance,N,759,Simply Signature,N,5 Year ARM,Purchase,Condo,277427,Primary,1,479902.5,480000,0,3/15/2005,5/1/2005,4/1/2035,1/1/2007,4.875,0.25,0.0018,277427,0,Illinois,CHICAGO IL,60618,Y,N,Jumbo,60,360,300,1950,"1,949.60",277427,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277427,4/1/2010,5/1/2010,5,2,5,2.25,9.88,39,40,N,0
277428,76.61,0,800000,0,No Insurance,N,678,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,277428,Primary,1,587241.98,612850,0,5/7/2004,7/1/2004,6/1/2034,1/1/2007,4.75,0.25,0.0018,277428,0,Illinois,FRANKFORT IL,60423,N,N,Jumbo,0,360,360,3196.92,"3,196.92",277428,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277428,6/1/2009,7/1/2009,5,2,5,2.25,9.75,29,30,N,0
277429,80,600000,600000,0,No Insurance,N,666,Full Documentation,N,5 Year ARM,Purchase,Condo,277429,Primary,1,480000,480000,0,4/19/2005,6/1/2005,5/1/2035,1/1/2007,5.125,0.25,0.0018,277429,0,Illinois,CHICAGO IL,60622,Y,N,Jumbo,60,360,300,2050,"2,050.00",277429,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277429,5/1/2010,6/1/2010,5,2,5,2.25,10.13,40,41,N,0
277430,57.5,0,1600000,0,No Insurance,N,784,Simply Signature,N,5 Year ARM,Cash-out Refinance,Single Family Residence,277430,Primary,1,895000,920000,0,3/10/2005,5/1/2005,4/1/2035,1/1/2007,5.125,0.25,0.0018,277430,0,Michigan,BLOOMFIELD MI,48302,Y,N,Jumbo,60,360,300,3929.17,"3,826.67",277430,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277430,4/1/2010,5/1/2010,5,2,5,2.25,10.13,39,40,N,0
277433,80,645000,645000,0,No Insurance,N,830,Full Documentation,Y,5 Year ARM,Purchase,Condo,277433,Primary,1,516000,516000,0,5/24/2005,7/1/2005,6/1/2035,1/1/2007,5.5,0.25,0.0018,277433,0,Florida,TAMPA FL,33606,Y,N,Jumbo,60,360,300,2365,"2,365.00",277433,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277433,6/1/2010,7/1/2010,5,2,5,2.25,10.5,41,42,N,0
277434,72.73,0,715000,0,No Insurance,N,576,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Planned unit developments,277434,Primary,1,504321.9,520000,0,10/1/2004,12/1/2004,11/1/2034,1/1/2007,5.5,0.25,0.0018,277434,0,Missouri,ST LOUIS MO,63141,N,N,Jumbo,0,360,360,2952.5,"2,952.50",277434,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277434,11/1/2009,12/1/2009,5,2,5,2.25,10.5,34,35,N,0
277435,80,695000,695000,0,No Insurance,N,688,Simply Signature,Y,5 Year ARM,Purchase,Single Family Residence,277435,Primary,1,556000,556000,0,4/14/2005,6/1/2005,5/1/2035,1/1/2007,5,0.25,0.0018,277435,0,Florida,TAMPA FL,33611,Y,N,Jumbo,60,360,300,2316.67,"2,316.67",277435,1,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277435,5/1/2010,6/1/2010,5,2,5,2.25,10,40,41,N,0
277436,32.11,0,1900000,0,No Insurance,N,815,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,277436,Primary,1,576307.42,610000,0,4/22/2004,6/1/2004,5/1/2034,1/1/2007,4.75,0.25,0.0018,277436,0,Missouri,ST LOUIS MO,63105,N,N,Jumbo,0,360,360,3182.05,"3,182.05",277436,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277436,5/1/2009,6/1/2009,5,2,5,2.25,9.75,28,29,N,0
277439,78.95,0,665000,0,No Insurance,N,820,Simply Signature,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,277439,Primary,1,525000,525000,0,2/28/2005,4/1/2005,3/1/2035,1/1/2007,5.125,0.25,0.0018,277439,0,Georgia,BIG CANOE GA,30143,Y,N,Jumbo,60,360,300,2242.19,"2,242.19",277439,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277439,3/1/2010,4/1/2010,5,2,5,2.25,10.13,38,39,N,0
277441,80,710000,710000,0,No Insurance,N,757,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,277441,Primary,1,529661.13,568000,0,1/14/2005,3/1/2005,2/1/2035,1/1/2007,4.5,0.25,0.0018,277441,0,Illinois,ROSELLE IL,60172,N,N,Jumbo,0,360,360,2877.97,"2,877.97",277441,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277441,2/1/2010,3/1/2010,5,2,5,2.25,9.5,37,38,N,0
277442,75,1200000,1200000,0,No Insurance,N,789,Full Documentation,Y,5 Year ARM,Purchase,Planned unit developments,277442,Secondary,1,870186.59,900000,0,7/15/2004,9/1/2004,8/1/2034,1/1/2007,5.625,0.25,0.0018,277442,0,Hawaii,HONOLULU HI,96815,N,N,Jumbo,0,360,360,5180.91,"5,180.91",277442,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277442,8/1/2009,9/1/2009,5,2,5,2.25,10.63,31,32,N,0
277444,80,730000,730000,0,No Insurance,N,752,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,277444,Primary,1,560644.23,584000,0,6/24/2004,8/1/2004,7/1/2034,1/1/2007,4.75,0.25,0.0018,277444,0,Illinois,WILMETTE IL,60091,N,N,Jumbo,0,360,360,3046.42,"3,046.42",277444,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277444,7/1/2009,8/1/2009,5,2,5,2.25,9.75,30,31,N,0
277446,80,654240,655000,0,No Insurance,N,717,Simply Signature,N,5 Year ARM,Purchase,Planned unit developments,277446,Primary,1,288578.96,523392,0,6/4/2004,8/1/2004,7/1/2034,1/1/2007,4.875,0.25,0.0018,277446,0,Illinois,PALATINE IL,60067,N,N,Jumbo,0,360,360,2769.83,"2,769.83",277446,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277446,7/1/2009,8/1/2009,5,2,5,2.25,9.88,30,31,N,0
277447,62.5,1760000,1760000,0,No Insurance,N,785,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,277447,Primary,1,1100000,1100000,0,4/6/2005,5/1/2005,4/1/2035,1/1/2007,4.875,0.25,0.0018,277447,0,Georgia,ATLANTA GA,30327,Y,N,Jumbo,60,360,300,4468.75,"4,468.75",277447,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277447,4/1/2010,5/1/2010,5,2,5,2.25,9.88,39,40,N,0
277451,74.83,735000,735000,0,No Insurance,N,790,Simply Signature,Y,5 Year ARM,Purchase,Single Family Residence,277451,Primary,1,455310.05,550000,0,3/24/2005,5/1/2005,4/1/2035,1/1/2007,5,0.25,0.0018,277451,0,Florida,EDGEWATER FL,32141,Y,N,Jumbo,60,360,300,2291.67,"1,897.13",277451,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277451,4/1/2010,5/1/2010,5,2,5,2.25,10,39,40,N,0
277453,73.86,880000,880000,0,No Insurance,N,808,Simply Signature,N,5 Year ARM,Purchase,Condo,277453,Primary,1,649985,650000,0,1/28/2005,3/1/2005,2/1/2035,1/1/2007,5,0.25,0.0018,277453,0,Alabama,ORANGE BEACH AL,36561,Y,N,Jumbo,60,360,300,2708.33,"2,708.27",277453,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277453,2/1/2010,3/1/2010,5,2,5,2.25,10,37,38,N,0
277455,67.95,0,880000,0,No Insurance,N,695,Full Documentation,Y,5 Year ARM,Cash-out Refinance,Planned unit developments,277455,Primary,1,598000,598000,0,3/3/2005,5/1/2005,4/1/2035,1/1/2007,5.25,0.25,0.0018,277455,0,Florida,LAKE MARY FL,32746,Y,N,Jumbo,60,360,300,2616.25,"2,616.25",277455,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277455,4/1/2010,5/1/2010,5,2,5,2.25,10.25,39,40,N,0
277456,41.01,0,3170000,0,No Insurance,N,818,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,277456,Primary,1,1266331.51,1300000,0,1/20/2005,3/1/2005,2/1/2035,1/1/2007,5.625,0.25,0.0018,277456,0,Illinois,WINNETKA IL,60093,N,N,Jumbo,0,360,360,7483.53,"7,483.53",277456,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277456,2/1/2010,3/1/2010,5,2,5,2.5,10.63,37,38,N,0
277457,79.51,610000,610000,0,No Insurance,N,823,Simply Signature,Y,5 Year ARM,Purchase,Planned unit developments,277457,Primary,1,485000,485000,0,1/14/2005,3/1/2005,2/1/2035,1/1/2007,5.25,0.25,0.0018,277457,0,Florida,SAINT AUGUSTINE FL,32086,Y,N,Jumbo,60,360,300,2121.88,"2,121.88",277457,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277457,2/1/2010,3/1/2010,5,2,5,2.25,10.25,37,38,N,0
277458,44.77,0,1300000,0,No Insurance,N,779,Reduced - No Income Verification,N,5 Year ARM,Cash-out Refinance,Condo,277458,Primary,1,551396.03,582000,0,3/10/2005,5/1/2005,4/1/2035,1/1/2007,5.375,0.25,0.0018,277458,0,Illinois,CHICAGO IL,60611,N,N,Jumbo,0,360,360,3259.03,"3,259.03",277458,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277458,4/1/2010,5/1/2010,5,2,5,2.25,10.38,39,40,N,0
277459,80,658085,658085,0,No Insurance,N,788,Full Documentation,N,5 Year ARM,Purchase,Condo,277459,Primary,1,522303.7,526467,0,12/2/2004,1/1/2005,12/1/2034,1/1/2007,5.125,0.25,0.0018,277459,0,Florida,ORLANDO FL,32836,Y,N,Jumbo,60,360,300,2248.45,"2,230.67",277459,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277459,12/1/2009,1/1/2010,5,2,5,2.25,10.13,35,36,N,0
277460,54.64,0,915000,0,No Insurance,N,571,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Condo,277460,Primary,1,485845.04,500000,0,1/28/2005,3/1/2005,2/1/2035,1/1/2007,5.125,0.25,0.0018,277460,0,Illinois,CHICAGO IL,60606,N,N,Jumbo,0,360,360,2722.43,"2,722.43",277460,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277460,2/1/2010,3/1/2010,5,2,5,2.25,10.13,37,38,N,0
277461,58.82,0,1275000,0,No Insurance,N,767,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,277461,Primary,1,727796.24,750000,0,12/20/2004,2/1/2005,1/1/2035,1/1/2007,5.125,0.25,0.0018,277461,0,Illinois,WINNETKA IL,60093,N,N,Jumbo,0,360,360,4083.65,"4,083.65",277461,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277461,1/1/2010,2/1/2010,5,2,5,2.25,10.13,36,37,N,0
277462,60.11,0,915000,0,No Insurance,N,787,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,277462,Primary,1,528905.14,550000,0,12/28/2004,3/1/2005,2/1/2035,1/1/2007,5,0.25,0.0018,277462,0,Illinois,GLENVIEW IL,60025,N,N,Jumbo,0,360,360,2952.52,"2,952.52",277462,0,0,0,N,1st Lien,Chase Mortgage,Chase Mortgage,Libor - 1 Year,60,12,61,12,277462,2/1/2010,3/1/2010,5,2,5,2.25,10,37,38,N,0
