GSANUM,ABSDELQ,ACAP,ACTBAL,AGE,APPR,ARMFLAG,ASOFDATE,ATERM,BALLFLAG,GSANUM,CITY,DTI,EMPLOY,FACAP,FDUEDATE,FHFLAG,FICO,FPCDT,FRADJPER,GSANUM,FRCDT,FRECAST,GROUP,GS_INDEXLIT,GS_PPLIT,GSOLTV,INCOME,IOFLAG,IOTERM,GSANUM,IRATE,LCAP,LIEN,LPMIFEE,LPMIFLAG,MARGIN,MAXRATE,MDATE,MICOLIT,MICOV,MIFLAG,MINOPI,MINRATE,GSANUM,MTM_DOCLIT,MTM_OCCLIT,MTM_ORIGINATOR,MTM_PRODLIT,MTM_PROPLIT,GSANUM,MTM_PURPLIT,MTR,NEGAMFLAG,NEGAMLIMIT,NPCDT,NRATE,NRCDT,OATERM,OBAL,GSANUM,ODATE,OPI,ORATE,OTERM,PBAL,PCAP,PDATE,PI,PPOFLAG,PPOTERM,PRICE,GSANUM,RADJPER,RATE,RECAST,RTERM,SCHEDBAL,MTM_SERVICER,SILENT,SPCOLTV,SRLIEN,STATE,SUBLIEN,GSANUM,TRATE,TTERM,UNITS,ZIP
6685906,CURRENT,1.5,539190.07,3,600000,ARM,3/1/2007,476,Y,6685906,LOS ANGELES,52.7,N,2,1/1/2007,N,665,1/1/2009,24,6685906,12/1/2008,,GROUP2,6ML,HE6MO80PCT,90,6635.5,N,0,6685906,,7,1,0,N,6.05,13.575,12/1/2036,,0,N,,6.575,6685906,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 40/30,SINGLE FAMILY,6685906,CASHOUT REFI,21,N,0,1/1/2009,6.065,12/1/2008,480,540000,6685906,11/8/2006,3190.37,6.575,360,538954.01,,2/1/2007,3190.37,Y,24,0,6685906,6,6.575,,357,538954.01,AVELO,N,90,0,CA,0,6685906,,0,1,90044
6685418,CURRENT,1.5,271870.63,3,350000,ARM,3/1/2007,477,Y,6685418,ORLANDO,51.7,Y,2,1/1/2007,N,549,1/1/2009,24,6685418,12/1/2008,,GROUP1,6ML,HE6MO80PCT,77.71,8000,N,0,6685418,,7,1,0,N,6.3,15.65,12/1/2036,,0,N,,8.65,6685418,STATED DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 40/30,PUD,6685418,CASHOUT REFI,21,N,0,1/1/2009,8.14,12/1/2008,480,272000,6685418,11/23/2006,2025.12,8.65,360,271805.24,,2/1/2007,2025.12,Y,24,0,6685418,6,8.65,,357,271805.24,AVELO,N,77.71,0,FL,0,6685418,,0,1,32824
6684629,CURRENT,1.5,118978.76,2,140000,ARM,3/1/2007,478,Y,6684629,PENSACOLA,37.16,N,2,2/1/2007,N,511,2/1/2009,24,6684629,1/1/2009,,GROUP1,6ML,HE6MO80PCT,85,3084.14,N,0,6684629,,7,1,0,N,6.45,16.6,1/1/2037,,0,N,,9.6,6684629,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 40/30,SINGLE FAMILY,6684629,CASHOUT REFI,22,N,0,2/1/2009,9.09,1/1/2009,480,119000,6684629,12/8/2006,973.24,9.6,360,118957.35,,2/1/2007,973.24,Y,24,0,6684629,6,9.6,,358,118957.35,AVELO,N,85,0,FL,0,6684629,,0,1,32514
6686098,CURRENT,0,39800,1,199000,FIXED,3/1/2007,359,N,6686098,MARYSVILLE,47.59,N,0,3/1/2007,Y,635,00/00/0000,0,6686098,00/00/0000,,GROUP2,,HE6MO80PCT,20,5310.33,N,0,6686098,,0,2,0,N,0,0,2/1/2037,,0,N,,0,6686098,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6686098,PURCHASE,0,N,0,00/00/0000,10.79,00/00/0000,360,39800,6686098,1/5/2007,388.08,11.3,360,39786.7,,2/1/2007,388.08,Y,24,199000,6686098,0,11.3,,359,39786.7,AVELO,N,100,159200,CA,0,6686098,,0,1,95901
6687263,CURRENT,1.5,159200,1,199000,ARM,3/1/2007,599,Y,6687263,MARYSVILLE,47.59,N,2,3/1/2007,Y,635,3/1/2009,24,6687263,2/1/2009,,GROUP2,6ML,HE6MO80PCT,80,5310.33,N,0,6687263,,7,1,0,N,6.05,13.5,2/1/2037,,0,N,,6.5,6687263,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 50/30,SINGLE FAMILY,6687263,PURCHASE,23,N,0,3/1/2009,5.99,2/1/2009,600,159200,6687263,1/5/2007,897.44,6.5,360,159164.89,,2/1/2007,897.44,Y,24,199000,6687263,6,6.5,,359,159164.89,AVELO,N,100,0,CA,39800,6687263,,0,1,95901
6687611,CURRENT,1.5,207938,1,260000,ARM,3/1/2007,598,Y,6687611,SAUGERTIES,48.83,N,2,3/1/2007,N,625,3/1/2010,36,6687611,2/1/2010,,GROUP1,6ML,NA,80,6046.24,N,0,6687611,,7,1,0,N,6.05,14.125,2/1/2037,,0,N,,7.125,6687611,FULL DOC,OWNER OCCUPIED,NEW CENTURY,3 YR ARM BALLOON 50/30,SINGLE FAMILY,6687611,RATE/TERM REFI,35,N,0,3/1/2010,6.615,2/1/2010,600,208000,6687611,12/27/2006,1271.46,7.125,360,207938,,3/1/2007,1271.46,N,0,0,6687611,6,7.125,,359,207938,AVELO,Y,100,0,NY,52000,6687611,,0,1,12477
6686041,CURRENT,0,26989.72,1,135000,FIXED,3/1/2007,359,N,6686041,DEARBORN,49.55,N,0,3/1/2007,N,655,00/00/0000,0,6686041,00/00/0000,,GROUP1,,1PER,20,2911.84,N,0,6686041,,0,2,0,N,0,0,2/1/2037,,0,N,,0,6686041,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6686041,CASHOUT REFI,0,N,0,00/00/0000,10.19,00/00/0000,360,27000,6686041,1/11/2007,251.03,10.7,360,26989.72,,3/1/2007,251.03,Y,36,0,6686041,0,10.7,,359,26989.72,AVELO,N,100,108000,MI,0,6686041,,0,1,48124
6686773,CURRENT,0,108000,1,135000,FIXED,3/1/2007,0,N,6686773,DEARBORN,49.55,N,0,3/1/2007,N,655,00/00/0000,0,6686773,00/00/0000,,GROUP1,,1PER,80,2911.84,Y,60,6686773,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6686773,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED IO,SINGLE FAMILY,6686773,RATE/TERM REFI,0,N,0,00/00/0000,8.415,00/00/0000,360,108000,6686773,1/11/2007,803.25,8.925,360,108000,,3/1/2007,803.25,Y,36,0,6686773,0,8.925,,359,108000,AVELO,N,100,0,MI,27000,6686773,,0,1,48124
6687644,CURRENT,0,212500,1,250000,FIXED,3/1/2007,0,N,6687644,SELMA AREA,40.56,N,0,3/1/2007,N,583,00/00/0000,0,6687644,00/00/0000,,GROUP1,,HE6MO80PCT,85,3312.07,Y,60,6687644,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6687644,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED IO,SINGLE FAMILY,6687644,RATE/TERM REFI,0,N,0,00/00/0000,6.19,00/00/0000,360,212500,6687644,1/12/2007,1186.46,6.7,360,212500,,2/1/2007,1186.46,Y,36,0,6687644,0,6.7,,359,212500,AVELO,N,85,0,CA,0,6687644,,0,1,93662
6687385,CURRENT,0,175000,1,300000,FIXED,3/1/2007,359,N,6687385,RENO,38.73,N,0,3/1/2007,N,590,00/00/0000,0,6687385,00/00/0000,,GROUP2,,HE6MO80PCT,58.33,5817.83,N,0,6687385,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6687385,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6687385,CASHOUT REFI,0,N,0,00/00/0000,7.015,00/00/0000,360,175000,6687385,1/8/2007,1226.63,7.525,360,174870.77,,2/1/2007,1226.63,Y,36,0,6687385,0,7.525,,359,174870.77,AVELO,N,58.33,0,NV,0,6687385,,0,1,89502
6685236,CURRENT,1.5,223206.39,2,275000,ARM,3/1/2007,478,Y,6685236,BRONX,47.72,Y,2,2/1/2007,N,732,2/1/2010,36,6685236,1/1/2010,,GROUP1,6ML,NA,95,12234.52,N,0,6685236,,7,1,0,N,6.4,16.3,1/1/2037,,0,N,,9.3,6685236,STATED DOC,SECOND HOME,NEW CENTURY,3 YR ARM BALLOON 40/30,CONDO,6685236,PURCHASE,34,N,0,2/1/2010,8.79,1/1/2010,480,223250,6685236,12/29/2006,1773.8,9.3,360,223162.44,,2/1/2007,1773.8,N,0,235000,6685236,6,9.3,,358,223162.44,AVELO,N,95,0,NY,0,6685236,,0,1,10473
6684020,CURRENT,0,49894.32,2,120000,FIXED,3/1/2007,178,N,6684020,PHILADELPHIA,26.98,Y,0,2/1/2007,N,530,00/00/0000,0,6684020,00/00/0000,,GROUP1,,NA,41.67,3000,N,0,6684020,,0,1,0,N,0,0,1/1/2022,,0,N,,0,6684020,STATED DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6684020,CASHOUT REFI,0,N,0,00/00/0000,10.915,00/00/0000,180,50000,6684020,12/20/2006,581.72,11.425,180,49787.64,,2/1/2007,581.72,N,0,0,6684020,0,11.425,,178,49787.64,AVELO,N,41.67,0,PA,0,6684020,,0,1,19121
6685930,CURRENT,0,587000,2,750000,FIXED,3/1/2007,0,N,6685930,AVALON,41.39,Y,0,2/1/2007,N,709,00/00/0000,0,6685930,00/00/0000,,GROUP2,,NA,78.27,53676.75,Y,60,6685930,,0,1,0,N,0,0,1/1/2037,,0,N,,0,6685930,FULL DOC,SECOND HOME,NEW CENTURY,FIXED IO,SINGLE FAMILY,6685930,CASHOUT REFI,0,N,0,00/00/0000,6.44,00/00/0000,360,587000,6685930,12/20/2006,3399.71,6.95,360,587000,,2/1/2007,3399.71,N,0,0,6685930,0,6.95,,358,587000,AVELO,N,78.27,0,NJ,0,6685930,,0,1,8202
6687819,CURRENT,1.5,243000,1,285000,ARM,3/1/2007,359,N,6687819,VERO BEACH,23.83,Y,2,3/1/2007,Y,588,3/1/2009,24,6687819,2/1/2009,,GROUP2,6ML,HE6MO80PCT,90,14265,N,0,6687819,,7,1,0,N,6.55,17.25,2/1/2037,,0,N,,10.25,6687819,STATED DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM,SINGLE FAMILY,6687819,PURCHASE,23,N,0,3/1/2009,9.74,2/1/2009,360,243000,6687819,1/12/2007,2177.53,10.25,360,242898.1,,2/1/2007,2177.53,Y,24,270000,6687819,6,10.25,,359,242898.1,AVELO,Y,90.74,0,FL,2000,6687819,,0,1,32968
6683469,CURRENT,0,23977.75,3,120000,FIXED,3/1/2007,357,N,6683469,DALLAS,35.9,N,0,1/1/2007,N,677,00/00/0000,0,6683469,00/00/0000,,GROUP2,,NA,20,6335,N,0,6683469,,0,2,0,N,0,0,12/1/2036,,0,N,,0,6683469,STATED DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6683469,PURCHASE,0,N,0,00/00/0000,9.29,00/00/0000,360,24000,6683469,11/29/2006,207.08,9.8,360,23966.49,,2/1/2007,207.08,N,0,120000,6683469,0,9.8,,357,23966.49,AVELO,N,100,96000,TX,0,6683469,,0,1,75232
6686560,CURRENT,1.5,89100,1,104500,ARM,3/1/2007,359,N,6686560,DALLAS,46.04,N,2,3/1/2007,Y,552,3/1/2009,24,6686560,2/1/2009,,GROUP1,6ML,HE6MO80PCT,90,4075.5,N,0,6686560,,7,1,0,N,6.05,16.5,2/1/2037,,0,N,,9.5,6686560,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM,SINGLE FAMILY,6686560,PURCHASE,23,N,0,3/1/2009,8.99,2/1/2009,360,89100,6686560,1/2/2007,749.21,9.5,360,89056.17,,2/1/2007,749.21,Y,24,99000,6686560,6,9.5,,359,89056.17,AVELO,Y,95,0,TX,4950,6686560,,0,1,75214
6687276,CURRENT,0,160000,1,412000,FIXED,3/1/2007,479,Y,6687276,MASSAPEQUA,45.65,N,0,3/1/2007,N,537,00/00/0000,0,6687276,00/00/0000,,GROUP2,,HE6MO80PCT,38.83,4677.28,N,0,6687276,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6687276,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED BALLOON 40/30,SINGLE FAMILY,6687276,CASHOUT REFI,0,N,0,00/00/0000,8.29,00/00/0000,480,160000,6687276,1/12/2007,1209.6,8.8,360,159963.73,,2/1/2007,1209.6,Y,12,0,6687276,0,8.8,,359,159963.73,AVELO,N,38.83,0,NY,0,6687276,,0,1,11758
6687832,CURRENT,1.5,245200,1,290000,ARM,3/1/2007,359,N,6687832,VINTON,25.64,Y,2,3/1/2007,Y,506,3/1/2009,24,6687832,2/1/2009,,GROUP2,6ML,2PER,84.99,11999.88,N,0,6687832,,7,1,0,N,6.05,16.35,2/1/2037,,0,N,,9.35,6687832,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM,SINGLE FAMILY,6687832,PURCHASE,23,N,0,3/1/2009,8.84,2/1/2009,360,245200,6687832,1/16/2007,2035,9.35,360,245075.52,,2/1/2007,2035,Y,24,288500,6687832,6,9.35,,359,245075.52,AVELO,N,84.99,0,VA,0,6687832,,0,1,24179
6683980,CURRENT,0,47383.64,2,245000,FIXED,3/1/2007,358,N,6683980,HOLLYWOOD,39.81,N,0,2/1/2007,Y,629,00/00/0000,0,6683980,00/00/0000,,GROUP2,,HE6MO80PCT,20,6652.75,N,0,6683980,,0,2,0,N,0,0,1/1/2037,,0,N,,0,6683980,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6683980,PURCHASE,0,N,0,00/00/0000,10.64,00/00/0000,360,47400,6683980,12/26/2006,456.79,11.15,360,47367.12,,2/1/2007,456.79,Y,24,237000,6683980,0,11.15,,358,47367.12,AVELO,N,100,189600,FL,0,6683980,,0,1,33024
6688779,CURRENT,0,206500,1,335000,FIXED,3/1/2007,599,Y,6688779,SARASOTA,41.22,N,0,3/1/2007,N,604,00/00/0000,0,6688779,00/00/0000,,GROUP2,,HE6MO80PCT,61.64,4487.75,N,0,6688779,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6688779,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED BALLOON 50/30,PUD,6688779,CASHOUT REFI,0,N,0,00/00/0000,7.09,00/00/0000,600,206500,6688779,1/8/2007,1338.13,7.6,360,206469.7,,2/1/2007,1338.13,Y,36,0,6688779,0,7.6,,359,206469.7,AVELO,N,61.64,0,FL,0,6688779,,0,1,34232
6684466,CURRENT,0,93974.55,2,475000,FIXED,3/1/2007,358,N,6684466,RIALTO,41.34,N,0,2/1/2007,Y,664,00/00/0000,0,6684466,00/00/0000,,GROUP2,,NA,20,12347,N,0,6684466,,0,2,0,N,0,0,1/1/2037,,0,N,,0,6684466,STATED DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6684466,PURCHASE,0,N,0,00/00/0000,11.74,00/00/0000,360,94000,6684466,12/6/2006,985.03,12.25,360,93948.84,,2/1/2007,985.03,N,0,470000,6684466,0,12.25,,358,93948.84,AVELO,N,100,376000,CA,0,6684466,,0,1,92377
6684371,CURRENT,1.5,80920.89,3,90000,ARM,3/1/2007,357,N,6684371,RENO,19.55,N,2,1/1/2007,N,586,1/1/2009,24,6684371,12/1/2008,,GROUP1,6ML,HE6MO80PCT,90,34042.16,N,0,6684371,,7,1,0,N,6.05,16.825,12/1/2036,,0,N,,9.825,6684371,FULL DOC,INVESTOR,NEW CENTURY,2 YR ARM,CONDO,6684371,CASHOUT REFI,21,N,0,1/1/2009,9.315,12/1/2008,360,81000,6684371,11/13/2006,700.39,9.825,360,80883.04,,2/1/2007,700.39,Y,24,0,6684371,6,9.825,,357,80883.04,AVELO,N,90,0,NV,0,6684371,,0,1,89512
6685499,CURRENT,0,299837.83,2,377000,FIXED,3/1/2007,358,N,6685499,VIRGINIA BEACH,49.07,N,0,2/1/2007,N,502,00/00/0000,0,6685499,00/00/0000,,GROUP2,,2PER,79.58,5423.89,N,0,6685499,,0,1,0,N,0,0,1/1/2037,,0,N,,0,6685499,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6685499,CASHOUT REFI,0,N,0,00/00/0000,8.54,00/00/0000,360,300000,6685499,12/22/2006,2424.67,9.05,360,299674.44,,2/1/2007,2424.67,Y,36,0,6685499,0,9.05,,358,299674.44,AVELO,N,79.58,0,VA,0,6685499,,0,1,23454
6687037,CURRENT,1.5,132000,1,165000,ARM,3/1/2007,479,Y,6687037,HARMONY,42.35,N,2,3/1/2007,Y,600,3/1/2009,24,6687037,2/1/2009,,GROUP1,6ML,NA,80,6409.31,N,0,6687037,,7,1,0,N,6.05,14.275,2/1/2037,,0,N,,7.275,6687037,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 40/30,SINGLE FAMILY,6687037,PURCHASE,23,N,0,3/1/2009,6.765,2/1/2009,480,132000,6687037,1/12/2007,846.79,7.275,360,131953.46,,2/1/2007,846.79,N,0,165000,6687037,6,7.275,,359,131953.46,AVELO,Y,100,0,NC,33000,6687037,,0,1,28634
6685512,CURRENT,1.5,304000,2,385000,ARM,3/1/2007,0,N,6685512,SANTA MARIA,46.62,Y,2,2/1/2007,N,694,2/1/2009,24,6685512,1/1/2009,,GROUP2,6ML,HE6MO80PCT,80,7500,Y,60,6685512,,7,1,0,N,6.15,14.725,1/1/2037,,0,N,,7.725,6685512,STATED DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM IO,SINGLE FAMILY,6685512,PURCHASE,22,N,0,2/1/2009,7.215,1/1/2009,360,304000,6685512,12/21/2006,1957,7.725,360,304000,,2/1/2007,1957,Y,24,380000,6685512,6,7.725,,358,304000,AVELO,Y,100,0,CA,76000,6685512,,0,1,93454
6685866,CURRENT,1.5,494129.85,5,620000,ARM,3/1/2007,355,N,6685866,MYSTIC,40.73,Y,2,11/1/2006,N,678,11/1/2008,24,6685866,10/1/2008,,GROUP2,6ML,HE6MO80PCT,80,13000,N,0,6685866,,7,1,0,N,6.15,13.325,10/1/2036,,0,N,,6.325,6685866,STATED DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM,SINGLE FAMILY,6685866,RATE/TERM REFI,19,N,0,11/1/2008,5.815,10/1/2008,360,496000,6685866,9/6/2006,3078.19,6.325,360,493656.14,,2/1/2007,3078.19,Y,24,0,6685866,6,6.325,,355,493656.14,AVELO,Y,100,0,CT,124000,6685866,,0,1,6355
6687781,CURRENT,1.5,235000,1,315000,ARM,3/1/2007,599,Y,6687781,SAINT CLOUD,39.86,N,2,3/1/2007,N,655,3/1/2009,24,6687781,2/1/2009,,GROUP2,6ML,HE6MO80PCT,79.66,8800,N,0,6687781,,7,1,0,N,6.15,14.375,2/1/2037,,0,N,,7.375,6687781,STATED DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 50/30,PUD,6687781,PURCHASE,23,N,0,3/1/2009,6.865,2/1/2009,600,235000,6687781,1/19/2007,1481.79,7.375,360,234962.48,,2/1/2007,1481.79,Y,24,295000,6687781,6,7.375,,359,234962.48,AVELO,N,79.66,0,FL,0,6687781,,0,1,34772
6687754,CURRENT,1.5,232000,1,290000,ARM,3/1/2007,599,Y,6687754,SANDY,12.06,Y,2,3/1/2007,Y,620,3/1/2009,24,6687754,2/1/2009,,GROUP2,6ML,NA,80,20624.43,N,0,6687754,,7,1,0,N,6.05,15.625,2/1/2037,,0,N,,8.625,6687754,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 50/30,SINGLE FAMILY,6687754,PURCHASE,23,N,0,3/1/2009,8.115,2/1/2009,600,232000,6687754,1/2/2007,1690.51,8.625,360,231976.99,,2/1/2007,1690.51,N,0,290000,6687754,6,8.625,,359,231976.99,AVELO,Y,100,0,UT,58000,6687754,,0,1,84092
6688597,CURRENT,1.5,570000,1,600000,ARM,3/1/2007,0,N,6688597,CHINO HILLS,29.86,N,2,3/1/2007,N,617,3/1/2009,24,6688597,2/1/2009,,GROUP2,6ML,HE6MO80PCT,95,17108.44,Y,60,6688597,,7,1,0,N,6.05,13.8,2/1/2037,,0,N,,6.8,6688597,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM IO,SINGLE FAMILY,6688597,CASHOUT REFI,23,N,0,3/1/2009,6.29,2/1/2009,360,570000,6688597,1/17/2007,3230,6.8,360,570000,,2/1/2007,3230,Y,24,0,6688597,6,6.8,,359,570000,AVELO,N,95,0,CA,0,6688597,,0,1,91709
6684961,CURRENT,1.5,175371.53,4,195000,ARM,3/1/2007,476,Y,6684961,COATESVILLE,48.09,N,2,12/1/2006,Y,592,12/1/2008,24,6684961,11/1/2008,,GROUP1,6ML,HE6MO80PCT,90,3364.3,N,0,6684961,,7,1,0,N,6.05,15.575,11/1/2036,,0,N,,8.575,6684961,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 40/30,SINGLE FAMILY,6684961,PURCHASE,20,N,0,12/1/2008,8.065,11/1/2008,480,175500,6684961,10/11/2006,1296.61,8.575,360,175328.1,,2/1/2007,1296.61,Y,24,195000,6684961,6,8.575,,356,175328.1,AVELO,N,90,0,PA,0,6684961,,0,1,19320
6684893,CURRENT,1.5,162440.14,2,189000,ARM,3/1/2007,598,Y,6684893,TWIN FALLS,41.77,N,2,2/1/2007,N,601,2/1/2009,24,6684893,1/1/2009,,GROUP1,6ML,HE6MO80PCT,90,4000,N,0,6684893,,7,1,0,N,6.3,16.875,1/1/2037,,0,N,,9.875,6684893,STATED DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 50/30,SINGLE FAMILY,6684893,PURCHASE,22,N,0,2/1/2009,9.365,1/1/2009,600,162450,6684893,12/12/2006,1346.69,9.875,360,162430.2,,2/1/2007,1346.69,Y,12,180500,6684893,6,9.875,,358,162430.2,AVELO,N,90,0,ID,0,6684893,,0,1,83301
6686852,CURRENT,0,113903.28,1,145000,FIXED,3/1/2007,359,N,6686852,CORPUS CHRISTI,39.74,N,0,3/1/2007,Y,730,00/00/0000,0,6686852,00/00/0000,,GROUP2,,HE6MO80PCT,80,5154.03,N,0,6686852,,0,1,0,N,0,0,2/1/2037,,0,N,,0,6686852,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6686852,PURCHASE,0,N,0,00/00/0000,6.315,00/00/0000,360,114000,6686852,1/16/2007,745.1,6.825,360,113903.28,,3/1/2007,745.1,Y,36,142500,6686852,0,6.825,,359,113903.28,AVELO,Y,100,0,TX,28500,6686852,,0,1,78413
6683167,CURRENT,0,33980.44,3,185000,FIXED,3/1/2007,357,N,6683167,CHICAGO,36.81,N,0,1/1/2007,Y,610,00/00/0000,0,6683167,00/00/0000,,GROUP1,,NA,20,5848.93,N,0,6683167,,0,2,0,N,0,0,12/1/2036,,0,N,,0,6683167,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6683167,PURCHASE,0,N,0,00/00/0000,11.49,00/00/0000,360,34000,6683167,11/29/2006,349.73,12,360,33970.51,,2/1/2007,349.73,N,0,170000,6683167,0,12,,357,33970.51,AVELO,N,100,136000,IL,0,6683167,,0,1,60619
6684892,CURRENT,1.5,162329.61,2,191000,ARM,3/1/2007,478,Y,6684892,LOUISVILLE,47.33,Y,2,2/1/2007,N,525,2/1/2009,24,6684892,1/1/2009,,GROUP1,6ML,5PER,85,4243,N,0,6684892,,7,1,0,N,6.3,17.75,1/1/2037,,0,N,,10.75,6684892,STATED DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 40/30,SINGLE FAMILY,6684892,RATE/TERM REFI,22,N,0,2/1/2009,10.24,1/1/2009,480,162350,6684892,12/8/2006,1474.78,10.75,360,162309.03,,2/1/2007,1474.78,Y,24,0,6684892,6,10.75,,358,162309.03,AVELO,Y,95,0,KY,19100,6684892,,0,1,40222
6686276,CURRENT,1.5,61750,1,70000,ARM,3/1/2007,359,N,6686276,ARLINGTON,19,N,2,3/1/2007,Y,665,3/1/2009,24,6686276,2/1/2009,,GROUP2,6ML,HE6MO80PCT,95,6401.33,N,0,6686276,,7,1,0,N,6.05,15.5,2/1/2037,,0,N,,8.5,6686276,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM,SINGLE FAMILY,6686276,PURCHASE,23,N,0,3/1/2009,7.99,2/1/2009,360,61750,6686276,1/16/2007,474.81,8.5,360,61712.59,,2/1/2007,474.81,Y,24,65000,6686276,6,8.5,,359,61712.59,AVELO,N,95,0,NE,0,6686276,,0,1,68002
6688208,CURRENT,1.5,348514.24,1,371500,ARM,3/1/2007,478,Y,6688208,NIXA,40.66,Y,2,3/1/2007,N,611,3/1/2009,24,6688208,2/1/2009,,GROUP2,6ML,2PER,95,15692.59,N,0,6688208,,7,1,0,N,6.25,15.85,2/1/2037,,0,N,,8.85,6688208,FULL DOC,OWNER OCCUPIED,NEW CENTURY,2 YR ARM BALLOON 40/30,SINGLE FAMILY,6688208,PURCHASE,23,N,0,3/1/2009,8.34,2/1/2009,480,348643,6688208,1/12/2007,2649.11,8.85,360,348514.24,,3/1/2007,2649.11,Y,24,366993,6688208,6,8.85,,359,348514.24,AVELO,N,95,0,MO,0,6688208,,0,1,65714
6684090,CURRENT,0,55352.48,4,290000,FIXED,3/1/2007,356,N,6684090,ROSEBURG,45.39,Y,0,12/1/2006,Y,617,00/00/0000,0,6684090,00/00/0000,,GROUP1,,HE6MO80PCT,20,8009.96,N,0,6684090,,0,2,0,N,0,0,11/1/2036,,0,N,,0,6684090,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6684090,PURCHASE,0,N,0,00/00/0000,11.54,00/00/0000,360,55400,6684090,10/20/2006,571.99,12.05,360,55336.32,,2/1/2007,571.99,Y,24,277000,6684090,0,12.05,,356,55336.32,AVELO,N,100,221600,OR,0,6684090,,0,1,97470
6684651,CURRENT,1.5,121377.7,3,138000,ARM,3/1/2007,477,Y,6684651,ATLANTA,46.21,N,2,1/1/2007,N,655,1/1/2009,24,6684651,12/1/2008,,GROUP1,6ML,1PER,90,5995,N,0,6684651,,7,1,0,N,5.95,16.075,12/1/2036,,0,N,,6,6684651,STATED DOC,INVESTOR,NEW CENTURY,2 YR ARM BALLOON 40/30,SINGLE FAMILY,6684651,PURCHASE,21,N,0,1/1/2009,5.49,12/1/2008,480,121500,6684651,11/10/2006,944.23,9.075,360,121316.09,,2/1/2007,668.5,Y,24,135000,6684651,6,6,,357,121316.09,AVELO,N,90,0,GA,0,6684651,,0,1,30315
6684052,CURRENT,0,51965.17,3,260000,FIXED,3/1/2007,357,N,6684052,LAS VEGAS,47.23,N,0,1/1/2007,N,638,00/00/0000,0,6684052,00/00/0000,,GROUP1,,HE6MO80PCT,20,7276.77,N,0,6684052,,0,2,0,N,0,0,12/1/2036,,0,N,,0,6684052,FULL DOC,OWNER OCCUPIED,NEW CENTURY,FIXED,SINGLE FAMILY,6684052,CASHOUT REFI,0,N,0,00/00/0000,11.09,00/00/0000,360,52000,6684052,11/16/2006,518.92,11.6,360,51948.58,,2/1/2007,518.92,Y,24,0,6684052,0,11.6,,357,51948.58,AVELO,N,100,208000,NV,0,6684052,,0,1,89115
